name,rating,reviews,installs,price,content_rating,genre
Basketball Stars,4.4,"867,920","10,000,000",0.00,Everyone,Sports
Battery Doctor-Battery Life Saver & Battery Cooler,4.5,"8,190,074","100,000,000",0.00,Everyone,Tools
BBM - Free Calls & Messages,4.3,"12,843,436","100,000,000",0.00,Everyone,Communication
Beach Buggy Blitz,4.2,"640,974","50,000,000",0.00,Everyone,Racing
BeautyPlus - Easy Photo Editor & Selfie Camera,4.4,"3,158,151","100,000,000",0.00,Everyone,Photography
Best Fiends - Free Puzzle Game,4.6,"1,480,189","10,000,000",0.00,Everyone,Casual
Bible,4.7,"2,440,695","100,000,000",0.00,Teen,Books & Reference
BIGO LIVE - Live Stream,4.4,"2,349,421","100,000,000",0.00,Teen,Social
Bike Race Free - Top Motorcycle Racing Games,4.5,"2,586,261","100,000,000",0.00,Everyone,Racing
Bike Racing 3D,4.2,"951,435","50,000,000",0.00,Everyone,Racing
Bitmoji – Your Personal Emoji,4.6,"2,312,084","100,000,000",0.00,Teen,Entertainment
BitTorrent®- Torrent Downloads,4.5,"641,219","10,000,000",0.00,Everyone,Video Players & Editors
Block City Wars + skins export,4.5,"762,706","10,000,000",0.00,Teen,Simulation
Block Craft 3D: Building Simulator Games For Free,4.5,"946,926","50,000,000",0.00,Everyone,Simulation
Block Strike,4.5,"947,515","10,000,000",0.00,Teen,Action
Blossom Blast Saga,4.5,"1,125,438","10,000,000",0.00,Everyone,Casual
BMX Boy,4.2,"839,206","50,000,000",0.00,Everyone,Racing
Bomber Friends,4.5,"776,730","10,000,000",0.00,Everyone 10+,Action
Booking.com Travel Deals,4.7,"1,830,388","100,000,000",0.00,Everyone,Travel & Local
Boom Beach,4.5,"5,591,653","50,000,000",0.00,Everyone 10+,Strategy
Boomerang from Instagram,4.4,"928,720","50,000,000",0.00,Everyone,Photography
Bowmasters,4.7,"1,536,349","50,000,000",0.00,Teen,Action
Brightest Flashlight - LED Light,4.5,"876,866","50,000,000",0.00,Everyone,Tools
Brightest Flashlight Free ®,4.7,"1,335,799","50,000,000",0.00,Everyone,Tools
Bubble Witch 2 Saga,4.3,"2,838,064","100,000,000",0.00,Everyone,Casual
Bubble Witch 3 Saga,4.7,"1,732,263","50,000,000",0.00,Everyone,Puzzle
Bukalapak - Buy and Sell Online,4.4,"662,287","10,000,000",0.00,Everyone,Shopping
Bullet Force,4.5,"634,159","10,000,000",0.00,Teen,Action
Bus Rush: Subway Edition,4.1,"753,043","100,000,000",0.00,Teen,Action
"C Launcher: Themes, Wallpapers, DIY, Smart, Clean",4.5,"901,110","10,000,000",0.00,Everyone 10+,Personalization
Cache Cleaner-DU Speed Booster (booster & cleaner),4.5,"12,759,815","100,000,000",0.00,Everyone,Tools
Calculator Plus Free,4.6,"679,912","10,000,000",0.00,Everyone,Tools
Call of Duty®: Heroes,4.4,"1,604,146","10,000,000",0.00,Teen,Action
Calorie Counter - MyFitnessPal,4.6,"1,873,523","50,000,000",0.00,Everyone,Health & Fitness
Camera360: Selfie Photo Editor with Funny Sticker,4.3,"4,865,132","100,000,000",0.00,Everyone,Photography
CamScanner - Phone PDF Creator,4.6,"1,502,622","100,000,000",0.00,Everyone,Productivity
"Candy Camera - selfie, beauty camera, photo editor",4.4,"3,368,705","100,000,000",0.00,Everyone,Photography
Candy Crush Jelly Saga,4.3,"1,300,619","50,000,000",0.00,Everyone,Puzzle
Candy Crush Saga,4.4,"22,430,188","500,000,000",0.00,Everyone,Casual
Candy Crush Soda Saga,4.4,"6,199,095","100,000,000",0.00,Everyone,Casual
Card Wars Kingdom,4.3,"920,571","10,000,000",0.00,Everyone 10+,Card;Action & Adventure
Castle Clash: Heroes of the Empire US,4.6,"4,578,890","50,000,000",0.00,Everyone 10+,Strategy
CATS: Crash Arena Turbo Stars,4.7,"1,559,650","50,000,000",0.00,Everyone,Action
CCleaner,4.4,"885,187","50,000,000",0.00,Everyone,Tools
Chase Mobile,4.6,"1,374,549","10,000,000",0.00,Everyone,Finance
Chess Free,4.5,"1,375,988","50,000,000",0.00,Everyone,Board
Choices: Stories You Play,4.6,"807,338","10,000,000",0.00,Teen,Simulation
Clash of Clans,4.6,"44,893,888","100,000,000",0.00,Everyone 10+,Strategy
Clash of Kings : The King Of Fighters version,4.2,"2,233,681","50,000,000",0.00,Teen,Strategy
Clash Royale,4.6,"23,136,735","100,000,000",0.00,Everyone 10+,Strategy
Clean Master Lite - For Low-End Phone,4.6,"2,246,379","50,000,000",0.00,Everyone,Tools
Clean Master- Space Cleaner & Antivirus,4.7,"42,916,526","500,000,000",0.00,Everyone,Tools
"CM Browser - Ad Blocker , Fast Download , Privacy",4.6,"2,265,084","50,000,000",0.00,Everyone,Communication
CM FILE MANAGER,4.4,"953,790","50,000,000",0.00,Everyone,Tools
"CM Launcher 3D - Theme, Wallpapers, Efficient",4.6,"6,702,776","100,000,000",0.00,Teen,Personalization
CM Locker - Security Lockscreen,4.6,"3,090,727","100,000,000",0.00,Everyone,Tools
Colorfy: Coloring Book for Adults - Free,4.5,"787,177","10,000,000",0.00,Everyone,Entertainment
ColorNote Notepad Notes,4.6,"2,401,017","100,000,000",0.00,Everyone,Productivity
Cooking Fever,4.5,"3,198,176","100,000,000",0.00,Everyone,Arcade
Cover Fire: offline shooting games for free,4.7,"725,897","10,000,000",0.00,Teen,Action
Credit Karma,4.7,"706,618","10,000,000",0.00,Everyone,Finance
Cricbuzz - Live Cricket Scores & News,4.5,"838,765","50,000,000",0.00,Everyone,Sports
Crisis Action: 2018 NO.1 FPS,4.3,"807,226","10,000,000",0.00,Teen,Action
Critical Ops,4.4,"1,397,944","10,000,000",0.00,Teen,Action
Crossy Road,4.5,"4,230,886","100,000,000",0.00,Everyone,Action
Cut the Rope FULL FREE,4.4,"2,123,793","100,000,000",0.00,Everyone,Puzzle
"Cymera Camera- Photo Editor, Filter,Collage,Layout",4.4,"2,418,165","100,000,000",0.00,Everyone,Photography
"Dailyhunt (Newshunt) - Latest News, Viral Videos",4.3,"948,198","50,000,000",0.00,Teen,News & Magazines
DEER HUNTER 2018,4.3,"955,656","10,000,000",0.00,Teen,Action
DEER HUNTER CLASSIC,4.4,"3,941,129","50,000,000",0.00,Teen,Action
Diary with lock,4.6,"815,893","10,000,000",0.00,Everyone,Lifestyle
Dictionary.com: Find Definitions for English Words,4.6,"899,010","10,000,000",0.00,Everyone,Books & Reference
DINO HUNTER: DEADLY SHORES,4.4,"1,381,820","10,000,000",0.00,Teen,Action
"Dolphin Browser - Fast, Private & Adblock🐬",4.5,"2,511,130","50,000,000",0.00,Everyone,Communication
Domino's Pizza USA,4.7,"1,032,935","10,000,000",0.00,Everyone,Food & Drink
Doodle Jump,4.3,"1,083,571","50,000,000",0.00,Everyone,Arcade
Downloader & Private Browser,4.3,"1,072,565","50,000,000",0.00,Everyone,Tools
Dr. Driving,4.5,"4,972,230","100,000,000",0.00,Everyone,Racing
DRAGON BALL Z DOKKAN BATTLE,4.1,"650,114","10,000,000",0.00,Teen,Action
Draw Something Classic,4.2,"1,092,106","50,000,000",0.00,Everyone,Word
Dream League Soccer 2018,4.6,"9,883,806","100,000,000",0.00,Everyone,Sports
Dropbox,4.4,"1,861,310","500,000,000",0.00,Everyone,Productivity
DU Battery Saver - Battery Charger & Battery Life,4.5,"13,479,633","100,000,000",0.00,Everyone,Tools
DU Browser—Browse fast & fun,4.3,"1,133,539","10,000,000",0.00,Everyone,Communication
"DU Recorder – Screen Recorder, Video Editor, Live",4.8,"2,588,730","50,000,000",0.00,Everyone,Video Players & Editors
Dubsmash,4.2,"1,971,777","100,000,000",0.00,Teen,Video Players & Editors
Dumb Ways to Die 2: The Games,4.2,"1,671,658","50,000,000",0.00,Teen,Casual
Dungeon Hunter 5 – Action RPG,4.2,"720,685","10,000,000",0.00,Teen,Role Playing
Duolingo: Learn Languages Free,4.7,"6,297,590","100,000,000",0.00,Everyone,Education;Education
EA SPORTS UFC®,4.5,"2,371,338","50,000,000",0.00,Teen,Sports
Earn to Die 2,4.6,"1,327,269","50,000,000",0.00,Teen,Racing
eBay: Buy & Sell this Summer - Discover Deals Now!,4.4,"2,788,923","100,000,000",0.00,Teen,Shopping
"Emoji keyboard - Cute Emoticons, GIF, Stickers",4.4,"1,107,320","50,000,000",0.00,Everyone,Tools
Episode - Choose Your Story,4.3,"1,842,381","50,000,000",0.00,Teen,Simulation
ES File Explorer File Manager,4.6,"5,383,985","100,000,000",0.00,Everyone,Productivity
Eternium,4.8,"1,506,783","10,000,000",0.00,Teen,Role Playing
Euro Truck Driver (Simulator),4.4,"860,078","10,000,000",0.00,Everyone,Simulation
"Evernote – Organizer, Planner for Notes & Memos",4.6,"1,488,397","100,000,000",0.00,Everyone,Productivity
Extreme Car Driving Simulator,4.3,"2,251,012","100,000,000",0.00,Everyone,Racing
Facebook,4.1,"78,158,306","1,000,000,000",0.00,Teen,Social
Facebook Lite,4.3,"8,606,259","500,000,000",0.00,Teen,Social
Facebook Pages Manager,4.0,"1,279,800","50,000,000",0.00,Everyone,Business
Fallout Shelter,4.6,"2,721,923","10,000,000",0.00,Teen,Simulation
"Fame Boom for Real Followers, Likes",4.7,"896,118","5,000,000",0.00,Everyone,Social
Family Locator - GPS Tracker,4.4,"726,074","10,000,000",0.00,Everyone,Lifestyle
Farm Heroes Saga,4.4,"7,615,646","100,000,000",0.00,Everyone,Casual
FIFA 16 Soccer,4.1,"820,577","10,000,000",0.00,Everyone,Sports
FIFA Soccer,4.2,"3,909,032","100,000,000",0.00,Everyone,Sports
File Commander - File Manager/Explorer,4.3,"758,590","100,000,000",0.00,Everyone,Business
File Manager,4.6,"739,329","50,000,000",0.00,Everyone,Tools
FINAL FANTASY BRAVE EXVIUS,4.6,"745,684","5,000,000",0.00,Teen,Role Playing
Firefox Browser fast & private,4.4,"3,075,118","100,000,000",0.00,Everyone,Communication
Fishdom,4.6,"2,158,580","10,000,000",0.00,Everyone,Puzzle
Five Nights at Freddy's 2 Demo,4.3,"1,503,544","50,000,000",0.00,Teen,Strategy
Five Nights at Freddy's 3 Demo,4.5,"1,041,836","10,000,000",0.00,Teen,Action
Five Nights at Freddy's 4 Demo,4.4,"889,425","10,000,000",0.00,Teen,Action
Flashlight HD LED,4.3,"618,918","50,000,000",0.00,Everyone,Tools
Flight Simulator: Fly Plane 3D,4.0,"660,613","50,000,000",0.00,Everyone,Simulation
Flipboard: News For Our Time,4.4,"1,284,018","500,000,000",0.00,Everyone 10+,News & Magazines
Flipkart Online Shopping App,4.4,"6,012,719","100,000,000",0.00,Teen,Shopping
Flow Free,4.3,"1,295,625","100,000,000",0.00,Everyone,Puzzle
Free GPS Navigation,4.2,"618,562","50,000,000",0.00,Everyone,Maps & Navigation
FRONTLINE COMMANDO,4.4,"1,351,833","10,000,000",0.00,Teen,Action
Frozen Free Fall,4.3,"1,574,546","50,000,000",0.00,Everyone,Puzzle;Action & Adventure
Fruit Ninja®,4.3,"5,091,448","100,000,000",0.00,Everyone,Arcade
Gardenscapes,4.6,"4,129,665","50,000,000",0.00,Everyone,Casual
Garena Free Fire,4.5,"5,534,114","100,000,000",0.00,Teen,Action
Gboard - the Google Keyboard,4.2,"1,859,115","500,000,000",0.00,Everyone,Tools
Geometry Dash Lite,4.5,"6,181,640","100,000,000",0.00,Everyone,Arcade
Geometry Dash Meltdown,4.6,"1,591,129","50,000,000",0.00,Everyone,Arcade
Geometry Dash World,4.6,"760,628","10,000,000",0.00,Everyone,Arcade
Glow Hockey,4.1,"1,703,479","100,000,000",0.00,Everyone,Arcade
Gmail,4.3,"4,604,483","1,000,000,000",0.00,Everyone,Communication
"GO Keyboard - Cute Emojis, Themes and GIFs",4.5,"4,594,198","100,000,000",0.00,Everyone,Tools
"GO Keyboard - Emoticon keyboard, Free Theme, GIF",4.4,"2,591,941","100,000,000",0.00,Everyone,Personalization
GO Launcher - 3D parallax Themes & HD Wallpapers,4.5,"7,464,996","100,000,000",0.00,Everyone,Personalization
"GO Security－AntiVirus, AppLock, Booster",4.7,"1,251,479","10,000,000",0.00,Everyone,Tools
"GO SMS Pro - Messenger, Free Themes, Emoji",4.4,"2,876,500","100,000,000",0.00,Everyone,Communication
"GO Weather - Widget, Theme, Wallpaper, Efficient",4.5,"1,422,858","50,000,000",0.00,Everyone,Weather
Google,4.4,"8,033,493","1,000,000,000",0.00,Everyone,Tools
Google Calendar,4.2,"858,230","500,000,000",0.00,Everyone,Productivity
Google Chrome: Fast & Secure,4.3,"9,643,041","1,000,000,000",0.00,Everyone,Communication
Google Docs,4.3,"815,981","100,000,000",0.00,Everyone,Productivity
Google Drive,4.4,"2,731,211","1,000,000,000",0.00,Everyone,Productivity
Google Duo - High Quality Video Calls,4.6,"2,083,237","500,000,000",0.00,Everyone,Communication
Google Earth,4.3,"2,339,098","100,000,000",0.00,Everyone,Travel & Local
Google Keep,4.4,"691,474","100,000,000",0.00,Everyone,Productivity
Google News,3.9,"878,065","1,000,000,000",0.00,Teen,News & Magazines
Google Now Launcher,4.2,"857,215","100,000,000",0.00,Everyone,Tools
Google Photos,4.5,"10,859,051","1,000,000,000",0.00,Everyone,Photography
Google Play Books,3.9,"1,433,233","1,000,000,000",0.00,Teen,Books & Reference
Google Play Games,4.3,"7,168,735","1,000,000,000",0.00,Teen,Entertainment
Google Play Movies & TV,3.7,"906,384","1,000,000,000",0.00,Teen,Video Players & Editors
Google Street View,4.2,"2,129,707","1,000,000,000",0.00,Everyone,Travel & Local
Google Translate,4.4,"5,745,093","500,000,000",0.00,Everyone,Tools
Google+,4.2,"4,831,125","1,000,000,000",0.00,Teen,Social
GPS Navigation & Offline Maps Sygic,4.4,"1,421,884","50,000,000",0.00,Everyone,Maps & Navigation
Granny,4.5,"1,138,239","50,000,000",0.00,Teen,Arcade
"Groupon - Shop Deals, Discounts & Coupons",4.6,"1,371,082","50,000,000",0.00,Teen,Shopping
Guns of Boom - Online Shooter,4.6,"1,226,514","10,000,000",0.00,Teen,Action
GUNSHIP BATTLE: Helicopter 3D,4.3,"2,151,039","50,000,000",0.00,Teen,Action
Hangouts,4.0,"3,419,513","1,000,000,000",0.00,Everyone,Communication
Harry Potter: Hogwarts Mystery,4.4,"1,107,310","10,000,000",0.00,Teen,Adventure
Hay Day,4.5,"10,053,186","100,000,000",0.00,Everyone,Casual
Helix Jump,4.2,"1,500,999","100,000,000",0.00,Everyone,Action
Hello English: Learn English,4.6,"750,321","10,000,000",0.00,Everyone,Education
Heroes of Order & Chaos,4.2,"690,148","10,000,000",0.00,Teen,Strategy
Hill Climb Racing,4.4,"8,923,847","100,000,000",0.00,Everyone,Racing
Hill Climb Racing 2,4.6,"2,750,645","100,000,000",0.00,Everyone,Racing
"Hola Launcher- Theme,Wallpaper",4.5,"3,277,209","100,000,000",0.00,Everyone,Personalization
Homescapes,4.6,"3,093,932","10,000,000",0.00,Everyone,Casual
Hotspot Shield Free VPN Proxy & Wi-Fi Security,4.2,"1,116,393","50,000,000",0.00,Everyone,Tools
Hotstar,4.3,"4,885,646","100,000,000",0.00,Teen,Entertainment
Hungry Shark Evolution,4.5,"6,074,627","100,000,000",0.00,Teen,Arcade
Hungry Shark World,4.5,"1,243,017","50,000,000",0.00,Teen,Action
ICQ — Video Calls & Chat Messenger,4.4,"697,939","10,000,000",0.00,Everyone,Communication
"iKeyboard - emoji, emoticons",4.5,"624,924","10,000,000",0.00,Everyone,Personalization
imo beta free calls and text,4.3,"659,395","100,000,000",0.00,Everyone,Communication
imo free video calls and chat,4.3,"4,785,988","500,000,000",0.00,Everyone,Communication
Indeed Job Search,4.3,"674,730","50,000,000",0.00,Everyone,Business
Injustice: Gods Among Us,4.4,"2,440,877","10,000,000",0.00,Teen,Action
Inside Out Thought Bubbles,4.4,"623,398","10,000,000",0.00,Everyone,Puzzle;Brain Games
InstaBeauty -Makeup Selfie Cam,4.3,"654,419","50,000,000",0.00,Everyone,Photography
Instagram,4.5,"66,577,446","1,000,000,000",0.00,Teen,Social
InstaSize Photo Filters & Collage Editor,4.3,"811,714","50,000,000",0.00,Everyone,Photography
Itau bank,4.2,"957,973","10,000,000",0.00,Everyone,Finance
ivi - movies and TV shows in HD,4.5,"684,116","10,000,000",0.00,Teen,Entertainment
Jetpack Joyride,4.4,"4,638,163","100,000,000",0.00,Everyone 10+,Arcade
Just Dance Now,4.2,"794,058","10,000,000",0.00,Everyone,Music
JW Library,4.9,"922,752","10,000,000",0.00,Everyone,Books & Reference
KakaoTalk: Free Calls & Text,4.3,"2,546,549","100,000,000",0.00,Everyone,Communication
Kaspersky Mobile Antivirus: AppLock & Web Security,4.7,"2,598,579","50,000,000",0.00,Everyone,Tools
Keepsafe Photo Vault: Hide Private Photos & Videos,4.6,"1,656,808","50,000,000",0.00,Everyone,Photography
Kick the Buddy,4.3,"1,004,709","50,000,000",0.00,Teen,Action
Kik,4.3,"2,451,136","100,000,000",0.00,Teen,Communication
KIM KARDASHIAN: HOLLYWOOD,4.3,"1,017,408","10,000,000",0.00,Teen,Adventure
KineMaster – Pro Video Editor,4.5,"1,013,867","50,000,000",0.00,Everyone,Video Players & Editors
Last Day on Earth: Survival,4.5,"2,311,785","10,000,000",0.00,Teen,Action
Last Empire - War Z: Strategy,4.2,"853,495","50,000,000",0.00,Teen,Strategy
Lazada - Online Shopping & Deals,4.2,"1,573,054","50,000,000",0.00,Everyone,Shopping
"Learn languages, grammar & vocabulary with Memrise",4.7,"1,107,948","10,000,000",0.00,Everyone,Education
LEGO® Juniors Create & Cruise,4.1,"673,203","50,000,000",0.00,Everyone,Educational;Action & Adventure
Lep's World 🍀,4.3,"696,019","50,000,000",0.00,Everyone 10+,Arcade
Lep's World 2 🍀🍀,4.3,"798,522","100,000,000",0.00,Everyone 10+,Arcade
Lep's World 3 🍀🍀🍀,4.3,"771,001","50,000,000",0.00,Everyone 10+,Action
"letgo: Buy & Sell Used Stuff, Cars & Real Estate",4.5,"973,270","50,000,000",0.00,Teen,Shopping
LIKE – Magic Video Maker & Community,4.6,"921,868","50,000,000",0.00,Teen,Video Players & Editors
LINE Camera - Photo editor,4.3,"1,517,395","100,000,000",0.00,Everyone,Photography
LINE Launcher,4.4,"733,838","10,000,000",0.00,Everyone,Personalization
LINE WEBTOON - Free Comics,4.5,"1,013,944","10,000,000",0.00,Teen,Comics
LINE: Free Calls & Messages,4.2,"10,790,289","500,000,000",0.00,Everyone,Communication
LinkedIn,4.2,"1,225,367","100,000,000",0.00,Everyone,Social
Live Hold’em Pro Poker - Free Casino Games,4.6,"1,123,190","10,000,000",0.00,Teen,Card
Lookout Security & Antivirus,4.4,"951,413","100,000,000",0.00,Everyone,Tools
Lords Mobile: Battle of the Empires - Strategy RPG,4.4,"3,057,481","50,000,000",0.00,Teen,Strategy
Madden NFL Football,4.5,"1,455,952","10,000,000",0.00,Everyone,Sports;Action & Adventure
Magisto Video Editor & Maker,4.3,"960,726","10,000,000",0.00,Everyone,Video Players & Editors
Mail.Ru - Email App,4.6,"837,842","50,000,000",0.00,Everyone,Communication
MakeupPlus - Your Own Virtual Makeup Artist,4.4,"758,780","50,000,000",0.00,Everyone,Photography
Maps - Navigate & Explore,4.3,"9,235,373","1,000,000,000",0.00,Everyone,Travel & Local
MAPS.ME – Offline Map and Travel Navigation,4.5,"932,870","50,000,000",0.00,Everyone,Travel & Local
MARVEL Contest of Champions,4.3,"2,468,915","50,000,000",0.00,Teen,Action
MARVEL Future Fight,4.6,"2,354,042","50,000,000",0.00,Everyone 10+,Role Playing
Master for Minecraft(Pocket Edition)-Mod Launcher,4.6,"2,674,051","50,000,000",0.00,Everyone,Tools
MegaN64 (N64 Emulator),4.6,"877,576","10,000,000",0.00,Everyone,Casual
Mercado Libre: Find your favorite brands,4.7,"3,860,225","50,000,000",0.00,Everyone,Shopping
Messenger – Text and Video Chat for Free,4.0,"56,646,578","1,000,000,000",0.00,Everyone,Communication
Messenger Lite: Free Calls & Messages,4.4,"1,429,038","100,000,000",0.00,Everyone,Communication
Microsoft Excel,4.5,"1,079,616","100,000,000",0.00,Everyone,Productivity
Microsoft Launcher,4.6,"649,568","10,000,000",0.00,Everyone,Personalization
Microsoft OneDrive,4.4,"1,038,306","100,000,000",0.00,Everyone,Productivity
Microsoft Outlook,4.3,"3,252,896","100,000,000",0.00,Everyone,Productivity
Microsoft PowerPoint,4.5,"618,798","100,000,000",0.00,Everyone,Productivity
Microsoft Word,4.5,"2,084,126","500,000,000",0.00,Everyone,Productivity
Minecraft,4.5,"2,376,564","10,000,000",6.99,Everyone 10+,Arcade;Action & Adventure
Minion Rush: Despicable Me Official Game,4.5,"10,216,997","100,000,000",0.00,Everyone 10+,Casual;Action & Adventure
Mobile Legends: Bang Bang,4.4,"8,219,586","100,000,000",0.00,Teen,Action
Mobile Strike,3.9,"903,392","50,000,000",0.00,Everyone 10+,Strategy
"Mobizen Screen Recorder - Record, Capture, Edit",4.3,"1,827,212","50,000,000",0.00,Everyone,Productivity
Mobizen Screen Recorder for SAMSUNG,4.4,"953,894","10,000,000",0.00,Everyone,Video Players & Editors
Modern Strike Online,4.3,"834,117","10,000,000",0.00,Teen,Action
MomentCam Cartoons & Stickers,4.2,"1,260,143","50,000,000",0.00,Everyone,Photography
"Movies by Flixster, with Rotten Tomatoes",4.5,"653,008","10,000,000",0.00,Everyone,Entertainment
"Muslim Pro - Prayer Times, Azan, Quran & Qibla",4.7,"1,133,393","10,000,000",0.00,Everyone,Lifestyle
MX Player,4.5,"6,474,672","500,000,000",0.00,Everyone,Video Players & Editors
"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",4.3,"1,498,393","50,000,000",0.00,Everyone,Productivity
My Boo - Your Virtual Pet Game,4.4,"899,748","10,000,000",0.00,Everyone,Casual
My Horse,4.5,"1,333,338","10,000,000",0.00,Everyone,Casual
MY LITTLE PONY: Magic Princess,4.4,"1,309,728","50,000,000",0.00,Everyone,Casual
My Talking Angela,4.5,"9,883,367","100,000,000",0.00,Everyone,Casual
My Talking Tom,4.5,"14,892,469","500,000,000",0.00,Everyone,Casual
Myntra Online Shopping App,4.3,"1,315,242","50,000,000",0.00,Everyone,Shopping
MyVodafone (India) - Online Recharge & Pay Bills,4.1,"1,092,367","10,000,000",0.00,Everyone,Productivity
NBA LIVE Mobile Basketball,4.4,"1,690,802","50,000,000",0.00,Everyone,Sports
Need for Speed™ No Limits,4.4,"3,344,300","50,000,000",0.00,Everyone 10+,Racing
Netflix,4.4,"5,456,708","100,000,000",0.00,Teen,Entertainment
Nike+ Run Club,4.4,"708,753","10,000,000",0.00,Everyone,Health & Fitness
No Crop & Square for Instagram,4.6,"819,774","10,000,000",0.00,Everyone,Photography
Norton Security and Antivirus,4.6,"1,170,641","10,000,000",0.00,Everyone,Tools
Nova Launcher,4.6,"1,121,805","50,000,000",0.00,Everyone,Personalization
OfficeSuite : Free Office + PDF Editor,4.3,"1,002,861","100,000,000",0.00,Everyone,Business
OLX - Buy and Sell,4.2,"857,923","50,000,000",0.00,Everyone,Shopping
Onefootball - Soccer Scores,4.7,"911,995","10,000,000",0.00,Everyone,Sports
Online Soccer Manager (OSM),4.5,"1,312,936","10,000,000",0.00,Everyone,Sports
"ooVoo Video Calls, Messaging & Stories",4.3,"1,157,004","50,000,000",0.00,Everyone,Social
Opera Browser: Fast and Secure,4.4,"2,473,795","100,000,000",0.00,Everyone,Communication
Opera Mini - fast web browser,4.5,"5,150,801","100,000,000",0.00,Everyone,Communication
